F	V
1.30000000000000e+006	(-4.85282300775368e+001,1.79999622693448e+002)
1.30299680950127e+006	(-4.84872104175069e+001,1.79999622693448e+002)
1.30600052736191e+006	(-4.84461987591367e+001,1.79999622693448e+002)
1.30901116950735e+006	(-4.84051950849944e+001,1.79999622693448e+002)
1.31202875189969e+006	(-4.83641993777449e+001,1.79999622693448e+002)
1.31505329053787e+006	(-4.83232116201496e+001,1.79999622693448e+002)
1.31808480145768e+006	(-4.82822317950665e+001,1.79999622693448e+002)
1.32112330073190e+006	(-4.82412598854499e+001,1.79999622693448e+002)
1.32416880447035e+006	(-4.82002958743503e+001,1.79999622693448e+002)
1.32722132881998e+006	(-4.81593397449141e+001,1.79999622693448e+002)
1.33028088996498e+006	(-4.81183914803837e+001,1.79999622693448e+002)
1.33334750412683e+006	(-4.80774510640975e+001,1.79999622693448e+002)
1.33642118756441e+006	(-4.80365184794891e+001,1.79999622693448e+002)
1.33950195657410e+006	(-4.79955937100879e+001,1.79999622693448e+002)
1.34258982748982e+006	(-4.79546767395183e+001,1.79999622693448e+002)
1.34568481668315e+006	(-4.79137675515003e+001,1.79999622693448e+002)
1.34878694056342e+006	(-4.78728661298486e+001,1.79999622693448e+002)
1.35189621557778e+006	(-4.78319724584727e+001,1.79999622693448e+002)
1.35501265821129e+006	(-4.77910865213771e+001,1.79999622693448e+002)
1.35813628498704e+006	(-4.77502083026605e+001,1.79999622693448e+002)
1.36126711246617e+006	(-4.77093377865163e+001,1.79999622693448e+002)
1.36440515724802e+006	(-4.76684749572317e+001,1.79999622693448e+002)
1.36755043597019e+006	(-4.76276197991883e+001,1.79999622693448e+002)
1.37070296530864e+006	(-4.75867722968615e+001,1.79999622693448e+002)
1.37386276197775e+006	(-4.75459324348201e+001,1.79999622693448e+002)
1.37702984273047e+006	(-4.75051001977267e+001,1.79999622693448e+002)
1.38020422435834e+006	(-4.74642755703373e+001,1.79999622693448e+002)
1.38338592369161e+006	(-4.74234585375007e+001,1.79999622693448e+002)
1.38657495759933e+006	(-4.73826490841590e+001,1.79999622693448e+002)
1.38977134298945e+006	(-4.73418471953470e+001,1.79999622693448e+002)
1.39297509680889e+006	(-4.73010528561919e+001,1.79999622693448e+002)
1.39618623604362e+006	(-4.72602660519137e+001,1.79999622693448e+002)
1.39940477771878e+006	(-4.72194867678242e+001,1.79999622693448e+002)
1.40263073889878e+006	(-4.71787149893276e+001,1.79999622693448e+002)
1.40586413668732e+006	(-4.71379507019196e+001,1.79999622693448e+002)
1.40910498822756e+006	(-4.70971938911877e+001,1.79999622693448e+002)
1.41235331070218e+006	(-4.70564445428109e+001,1.79999622693448e+002)
1.41560912133346e+006	(-4.70157026425592e+001,1.79999622693448e+002)
1.41887243738338e+006	(-4.69749681762939e+001,1.79999622693448e+002)
1.42214327615372e+006	(-4.69342411299668e+001,1.79999622693448e+002)
1.42542165498614e+006	(-4.68935214896206e+001,1.79999622693448e+002)
1.42870759126227e+006	(-4.68528092413881e+001,1.79999622693448e+002)
1.43200110240384e+006	(-4.68121043714926e+001,1.79999622693448e+002)
1.43530220587269e+006	(-4.67714068662470e+001,1.79999622693448e+002)
1.43861091917096e+006	(-4.67307167120542e+001,1.79999622693448e+002)
1.44192725984112e+006	(-4.66900338954066e+001,1.79999622693448e+002)
1.44525124546607e+006	(-4.66493584028856e+001,1.79999622693448e+002)
1.44858289366925e+006	(-4.66086902211621e+001,1.79999622693448e+002)
1.45192222211473e+006	(-4.65680293369955e+001,1.79999622693448e+002)
1.45526924850729e+006	(-4.65273757372340e+001,1.79999622693448e+002)
1.45862399059255e+006	(-4.64867294088140e+001,1.79999622693448e+002)
