"freq
References : ['S(1,1)','S(1,2)','S(2,1)','S(2,2)']
Dependency : [freq]
Num. Points : [901]
Matrix Size : scalar
Type : Real","S(1,1)
References : []
Dependency : [freq]
Num. Points : [901]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg","S(1,2)
References : []
Dependency : [freq]
Num. Points : [901]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg","S(2,1)
References : []
Dependency : [freq]
Num. Points : [901]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg","S(2,2)
References : []
Dependency : [freq]
Num. Points : [901]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg"
1.000 GHz,0.539 / 19.148 ,0.059 / -107.658 ,8.130 / -94.158 ,0.212 / -13.084 
1.010 GHz,0.530 / 17.114 ,0.060 / -110.634 ,8.101 / -97.284 ,0.200 / -16.436 
1.020 GHz,0.520 / 15.098 ,0.061 / -113.594 ,8.070 / -100.394 ,0.188 / -19.872 
1.030 GHz,0.511 / 13.217 ,0.062 / -116.519 ,8.036 / -103.469 ,0.176 / -23.446 
1.040 GHz,0.502 / 11.356 ,0.063 / -119.428 ,8.000 / -106.528 ,0.164 / -27.148 
1.050 GHz,0.492 / 9.383 ,0.064 / -122.286 ,7.964 / -109.586 ,0.153 / -30.800 
1.060 GHz,0.483 / 7.421 ,0.064 / -125.132 ,7.927 / -112.632 ,0.141 / -34.604 
1.070 GHz,0.474 / 5.601 ,0.065 / -128.001 ,7.887 / -115.651 ,0.131 / -38.822 
1.080 GHz,0.466 / 3.793 ,0.066 / -130.859 ,7.845 / -118.659 ,0.120 / -43.303 
1.090 GHz,0.457 / 1.868 ,0.067 / -133.725 ,7.804 / -121.725 ,0.110 / -47.933 
1.100 GHz,0.449 / -0.053 ,0.068 / -136.583 ,7.762 / -124.783 ,0.100 / -52.915 
1.110 GHz,0.440 / -1.824 ,0.069 / -139.412 ,7.724 / -127.762 ,0.091 / -58.558 
1.120 GHz,0.432 / -3.588 ,0.070 / -142.232 ,7.685 / -130.732 ,0.082 / -64.802 
1.130 GHz,0.424 / -5.458 ,0.070 / -145.115 ,7.647 / -133.715 ,0.074 / -71.641 
1.140 GHz,0.416 / -7.328 ,0.071 / -147.991 ,7.608 / -136.691 ,0.066 / -79.366 
1.150 GHz,0.409 / -9.060 ,0.072 / -150.774 ,7.565 / -139.624 ,0.059 / -88.175 
1.160 GHz,0.401 / -10.792 ,0.073 / -153.549 ,7.522 / -142.549 ,0.053 / -98.301 
1.170 GHz,0.394 / -12.683 ,0.074 / -156.359 ,7.479 / -145.509 ,0.049 / -109.700 
1.180 GHz,0.386 / -14.583 ,0.075 / -159.165 ,7.435 / -148.465 ,0.046 / -122.043 
1.190 GHz,0.380 / -16.374 ,0.075 / -161.936 ,7.389 / -151.386 ,0.045 / -134.727 
1.200 GHz,0.373 / -18.177 ,0.076 / -164.703 ,7.342 / -154.303 ,0.046 / -147.068 
1.210 GHz,0.366 / -20.030 ,0.077 / -167.483 ,7.306 / -157.233 ,0.047 / -159.608 
1.220 GHz,0.359 / -21.894 ,0.078 / -170.259 ,7.269 / -160.159 ,0.049 / -170.993 
1.230 GHz,0.352 / -23.740 ,0.079 / -173.088 ,7.231 / -163.088 ,0.053 / 179.027 
1.240 GHz,0.345 / -25.604 ,0.079 / -175.914 ,7.192 / -166.014 ,0.057 / 170.410 
1.250 GHz,0.339 / -27.405 ,0.080 / -178.647 ,7.152 / -168.897 ,0.062 / 162.998 
1.260 GHz,0.333 / -29.229 ,0.081 / 178.623 ,7.111 / -171.777 ,0.066 / 156.509 
1.270 GHz,0.327 / -31.172 ,0.082 / 175.849 ,7.069 / -174.701 ,0.071 / 150.877 
1.280 GHz,0.320 / -33.144 ,0.083 / 173.076 ,7.028 / -177.624 ,0.076 / 145.849 
1.290 GHz,0.314 / -35.174 ,0.083 / 170.315 ,6.987 / 179.465 ,0.080 / 141.077 
1.300 GHz,0.308 / -37.238 ,0.084 / 167.554 ,6.946 / 176.554 ,0.084 / 136.700 
1.310 GHz,0.303 / -39.202 ,0.085 / 164.785 ,6.909 / 173.735 ,0.088 / 132.646 
1.320 GHz,0.298 / -41.203 ,0.086 / 162.016 ,6.871 / 170.916 ,0.092 / 128.874 
1.330 GHz,0.293 / -43.254 ,0.086 / 159.298 ,6.834 / 168.048 ,0.095 / 125.333 
1.340 GHz,0.288 / -45.349 ,0.087 / 156.580 ,6.797 / 165.180 ,0.099 / 121.993 
1.350 GHz,0.282 / -47.578 ,0.088 / 153.774 ,6.760 / 162.324 ,0.102 / 118.600 
1.360 GHz,0.276 / -49.856 ,0.089 / 150.966 ,6.722 / 159.466 ,0.105 / 115.366 
1.370 GHz,0.272 / -52.098 ,0.090 / 148.242 ,6.684 / 156.592 ,0.107 / 112.491 
1.380 GHz,0.267 / -54.393 ,0.090 / 145.515 ,6.645 / 153.715 ,0.110 / 109.735 
1.390 GHz,0.263 / -56.759 ,0.091 / 142.741 ,6.606 / 150.841 ,0.111 / 106.973 
1.400 GHz,0.258 / -59.185 ,0.092 / 139.963 ,6.567 / 147.963 ,0.113 / 104.314 
1.410 GHz,0.254 / -61.593 ,0.093 / 137.187 ,6.535 / 145.087 ,0.114 / 101.630 
1.420 GHz,0.250 / -64.062 ,0.093 / 134.407 ,6.502 / 142.207 ,0.115 / 99.033 
1.430 GHz,0.244 / -66.686 ,0.094 / 131.616 ,6.469 / 139.316 ,0.116 / 96.600 
1.440 GHz,0.238 / -69.371 ,0.095 / 128.820 ,6.436 / 136.420 ,0.117 / 94.244 
1.450 GHz,0.234 / -72.017 ,0.096 / 126.013 ,6.402 / 133.513 ,0.118 / 92.061 
1.460 GHz,0.230 / -74.733 ,0.097 / 123.200 ,6.367 / 130.600 ,0.118 / 89.947 
1.470 GHz,0.224 / -77.667 ,0.097 / 120.388 ,6.334 / 127.638 ,0.118 / 87.699 
1.480 GHz,0.218 / -80.678 ,0.098 / 117.568 ,6.301 / 124.668 ,0.117 / 85.522 
1.490 GHz,0.214 / -83.640 ,0.099 / 114.742 ,6.267 / 121.742 ,0.116 / 83.435 
1.500 GHz,0.210 / -86.678 ,0.100 / 111.906 ,6.233 / 118.806 ,0.115 / 81.420 
1.510 GHz,0.205 / -89.682 ,0.100 / 109.064 ,6.203 / 115.914 ,0.114 / 79.459 
1.520 GHz,0.201 / -92.756 ,0.101 / 106.211 ,6.172 / 113.011 ,0.113 / 77.563 
1.530 GHz,0.196 / -95.944 ,0.102 / 103.354 ,6.141 / 110.054 ,0.112 / 75.642 
1.540 GHz,0.192 / -99.209 ,0.103 / 100.485 ,6.110 / 107.085 ,0.110 / 73.790 
1.550 GHz,0.186 / -102.703 ,0.103 / 97.570 ,6.080 / 104.070 ,0.107 / 71.581 
1.560 GHz,0.180 / -106.287 ,0.104 / 94.641 ,6.050 / 101.041 ,0.105 / 69.430 
1.570 GHz,0.175 / -109.733 ,0.105 / 91.777 ,6.018 / 98.077 ,0.103 / 67.980 
1.580 GHz,0.170 / -113.251 ,0.106 / 88.900 ,5.985 / 95.100 ,0.101 / 66.603 
1.590 GHz,0.165 / -116.931 ,0.106 / 85.967 ,5.954 / 92.067 ,0.098 / 65.090 
1.600 GHz,0.161 / -120.691 ,0.107 / 83.019 ,5.922 / 89.019 ,0.095 / 63.660 
1.610 GHz,0.156 / -124.378 ,0.108 / 80.058 ,5.893 / 86.008 ,0.092 / 62.271 
1.620 GHz,0.150 / -128.132 ,0.109 / 77.081 ,5.864 / 82.981 ,0.090 / 60.950 
1.630 GHz,0.144 / -132.289 ,0.109 / 74.034 ,5.835 / 79.834 ,0.086 / 59.525 
1.640 GHz,0.138 / -136.551 ,0.110 / 70.966 ,5.806 / 76.666 ,0.082 / 58.186 
1.650 GHz,0.133 / -140.486 ,0.111 / 67.957 ,5.778 / 73.557 ,0.078 / 56.400 
1.660 GHz,0.127 / -144.481 ,0.112 / 64.926 ,5.749 / 70.426 ,0.075 / 54.630 
1.670 GHz,0.120 / -148.933 ,0.113 / 61.789 ,5.719 / 67.239 ,0.070 / 53.583 
1.680 GHz,0.113 / -153.497 ,0.113 / 58.627 ,5.688 / 64.027 ,0.066 / 52.633 
1.690 GHz,0.107 / -157.878 ,0.114 / 55.500 ,5.658 / 60.800 ,0.062 / 51.693 
1.700 GHz,0.101 / -162.327 ,0.115 / 52.346 ,5.629 / 57.546 ,0.058 / 50.834 
1.710 GHz,0.094 / -166.446 ,0.115 / 49.169 ,5.599 / 54.319 ,0.054 / 49.938 
1.720 GHz,0.086 / -170.563 ,0.116 / 45.960 ,5.568 / 51.060 ,0.049 / 49.070 
1.730 GHz,0.079 / -174.796 ,0.117 / 42.731 ,5.539 / 47.731 ,0.044 / 47.549 
1.740 GHz,0.071 / -179.003 ,0.117 / 39.465 ,5.510 / 44.365 ,0.039 / 45.915 
1.750 GHz,0.062 / 176.685 ,0.118 / 36.140 ,5.480 / 40.940 ,0.033 / 45.322 
1.760 GHz,0.053 / 172.472 ,0.119 / 32.771 ,5.450 / 37.471 ,0.027 / 44.883 
1.770 GHz,0.042 / 168.978 ,0.119 / 29.373 ,5.419 / 34.023 ,0.021 / 42.765 
1.780 GHz,0.032 / 166.363 ,0.120 / 25.923 ,5.387 / 30.523 ,0.015 / 39.576 
1.790 GHz,0.020 / 165.719 ,0.121 / 22.407 ,5.354 / 26.907 ,0.008 / 35.627 
1.800 GHz,0.008 / 178.516 ,0.121 / 18.828 ,5.321 / 23.228 ,8.117E-4 / -67.747 
1.810 GHz,0.008 / -67.701 ,0.122 / 15.187 ,5.290 / 19.537 ,0.008 / -133.121 
1.820 GHz,0.022 / -51.428 ,0.122 / 11.472 ,5.258 / 15.772 ,0.017 / -137.100 
1.830 GHz,0.038 / -51.816 ,0.123 / 7.689 ,5.227 / 11.889 ,0.028 / -138.824 
1.840 GHz,0.055 / -54.890 ,0.123 / 3.818 ,5.194 / 7.918 ,0.040 / -140.638 
1.850 GHz,0.074 / -58.884 ,0.124 / -0.165 ,5.156 / 3.885 ,0.052 / -142.888 
1.860 GHz,0.096 / -63.386 ,0.124 / -4.253 ,5.115 / -0.253 ,0.066 / -145.134 
1.870 GHz,0.119 / -68.296 ,0.124 / -8.444 ,5.072 / -4.494 ,0.081 / -147.174 
1.880 GHz,0.144 / -73.407 ,0.125 / -12.762 ,5.024 / -8.862 ,0.098 / -149.436 
1.890 GHz,0.172 / -78.591 ,0.125 / -17.230 ,4.971 / -13.430 ,0.117 / -152.151 
1.900 GHz,0.202 / -83.971 ,0.124 / -21.848 ,4.911 / -18.148 ,0.138 / -155.040 
1.910 GHz,0.235 / -89.648 ,0.124 / -26.608 ,4.845 / -22.958 ,0.160 / -157.890 
1.920 GHz,0.270 / -95.473 ,0.123 / -31.539 ,4.769 / -27.939 ,0.184 / -161.000 
1.930 GHz,0.308 / -101.398 ,0.122 / -36.706 ,4.683 / -33.156 ,0.212 / -164.491 
1.940 GHz,0.349 / -107.500 ,0.121 / -42.061 ,4.584 / -38.561 ,0.241 / -168.236 
1.950 GHz,0.394 / -113.743 ,0.119 / -47.644 ,4.466 / -44.194 ,0.273 / -172.350 
1.960 GHz,0.442 / -120.193 ,0.116 / -53.418 ,4.330 / -50.018 ,0.307 / -176.705 
1.970 GHz,0.489 / -126.848 ,0.113 / -59.344 ,4.179 / -55.944 ,0.342 / 178.857 
1.980 GHz,0.538 / -133.652 ,0.110 / -65.444 ,4.009 / -62.044 ,0.378 / 174.180 
1.990 GHz,0.588 / -140.585 ,0.106 / -71.648 ,3.819 / -68.348 ,0.415 / 169.281 
2.000 GHz,0.637 / -147.621 ,0.101 / -77.977 ,3.610 / -74.777 ,0.452 / 164.198 
2.010 GHz,0.685 / -154.753 ,0.095 / -84.365 ,3.381 / -81.215 ,0.488 / 158.999 
2.020 GHz,0.731 / -161.900 ,0.089 / -90.796 ,3.137 / -87.696 ,0.522 / 153.703 
2.030 GHz,0.774 / -169.016 ,0.083 / -97.348 ,2.879 / -94.248 ,0.557 / 148.304 
2.040 GHz,0.814 / -176.065 ,0.076 / -103.844 ,2.613 / -100.744 ,0.588 / 142.911 
2.050 GHz,0.849 / 177.000 ,0.069 / -110.132 ,2.345 / -107.132 ,0.616 / 137.579 
2.060 GHz,0.879 / 170.217 ,0.061 / -116.285 ,2.079 / -113.385 ,0.641 / 132.336 
2.070 GHz,0.905 / 163.617 ,0.054 / -122.257 ,1.819 / -119.407 ,0.664 / 127.347 
2.080 GHz,0.927 / 157.223 ,0.047 / -128.032 ,1.567 / -125.232 ,0.683 / 122.494 
2.090 GHz,0.944 / 151.047 ,0.040 / -133.646 ,1.324 / -130.946 ,0.699 / 117.588 
2.100 GHz,0.959 / 145.103 ,0.033 / -139.006 ,1.095 / -136.406 ,0.712 / 112.875 
2.110 GHz,0.969 / 139.395 ,0.027 / -144.101 ,0.883 / -141.501 ,0.723 / 108.515 
2.120 GHz,0.978 / 133.917 ,0.021 / -148.895 ,0.686 / -146.295 ,0.733 / 104.331 
2.130 GHz,0.983 / 128.662 ,0.016 / -153.270 ,0.504 / -150.770 ,0.740 / 100.243 
2.140 GHz,0.987 / 123.621 ,0.011 / -157.045 ,0.337 / -154.645 ,0.746 / 96.325 
2.150 GHz,0.990 / 118.783 ,0.006 / -159.322 ,0.185 / -156.972 ,0.751 / 92.661 
2.160 GHz,0.991 / 114.137 ,0.002 / -149.270 ,0.047 / -146.970 ,0.754 / 89.144 
2.170 GHz,0.991 / 109.669 ,0.003 / -3.154 ,0.084 / -0.954 ,0.757 / 85.635 
2.180 GHz,0.991 / 105.369 ,0.007 / -0.982 ,0.198 / 1.118 ,0.758 / 82.263 
2.190 GHz,0.989 / 101.223 ,0.010 / -3.275 ,0.302 / -1.275 ,0.760 / 79.114 
2.200 GHz,0.988 / 97.221 ,0.013 / -6.285 ,0.397 / -4.385 ,0.761 / 76.073 
2.210 GHz,0.986 / 93.352 ,0.016 / -9.471 ,0.483 / -7.621 ,0.762 / 73.112 
2.220 GHz,0.983 / 89.605 ,0.019 / -12.693 ,0.562 / -10.893 ,0.762 / 70.241 
2.230 GHz,0.981 / 85.973 ,0.022 / -15.944 ,0.633 / -14.144 ,0.762 / 67.496 
2.240 GHz,0.979 / 82.446 ,0.024 / -19.152 ,0.699 / -17.352 ,0.762 / 64.827 
2.250 GHz,0.976 / 79.016 ,0.026 / -22.261 ,0.758 / -20.511 ,0.762 / 62.183 
2.260 GHz,0.973 / 75.676 ,0.029 / -25.314 ,0.812 / -23.614 ,0.761 / 59.602 
2.270 GHz,0.971 / 72.420 ,0.031 / -28.364 ,0.861 / -26.664 ,0.761 / 57.124 
2.280 GHz,0.968 / 69.241 ,0.032 / -31.361 ,0.907 / -29.661 ,0.761 / 54.699 
2.290 GHz,0.965 / 66.133 ,0.034 / -34.253 ,0.948 / -32.653 ,0.760 / 52.266 
2.300 GHz,0.963 / 63.092 ,0.036 / -37.098 ,0.986 / -35.598 ,0.759 / 49.880 
2.310 GHz,0.960 / 60.120 ,0.037 / -39.907 ,1.022 / -38.457 ,0.759 / 47.614 
2.320 GHz,0.958 / 57.205 ,0.039 / -42.676 ,1.055 / -41.276 ,0.758 / 45.384 
2.330 GHz,0.955 / 54.338 ,0.040 / -45.400 ,1.084 / -44.050 ,0.757 / 43.125 
2.340 GHz,0.953 / 51.520 ,0.042 / -48.089 ,1.112 / -46.789 ,0.755 / 40.899 
2.350 GHz,0.951 / 48.748 ,0.043 / -50.796 ,1.137 / -49.546 ,0.755 / 38.730 
2.360 GHz,0.948 / 46.019 ,0.044 / -53.473 ,1.161 / -52.273 ,0.754 / 36.588 
2.370 GHz,0.946 / 43.330 ,0.046 / -56.078 ,1.183 / -54.928 ,0.752 / 34.440 
2.380 GHz,0.944 / 40.678 ,0.047 / -58.659 ,1.204 / -57.559 ,0.750 / 32.317 
2.390 GHz,0.941 / 38.060 ,0.048 / -61.216 ,1.223 / -60.216 ,0.749 / 30.255 
2.400 GHz,0.939 / 35.473 ,0.049 / -63.755 ,1.242 / -62.855 ,0.748 / 28.213 
2.410 GHz,0.937 / 32.914 ,0.050 / -66.267 ,1.260 / -65.417 ,0.746 / 26.204 
2.420 GHz,0.934 / 30.382 ,0.051 / -68.766 ,1.277 / -67.966 ,0.744 / 24.212 
2.430 GHz,0.932 / 27.874 ,0.052 / -71.303 ,1.295 / -70.503 ,0.742 / 22.184 
2.440 GHz,0.930 / 25.388 ,0.053 / -73.830 ,1.311 / -73.030 ,0.739 / 20.170 
2.450 GHz,0.927 / 22.923 ,0.055 / -76.303 ,1.327 / -75.553 ,0.737 / 18.220 
2.460 GHz,0.925 / 20.476 ,0.056 / -78.772 ,1.342 / -78.072 ,0.734 / 16.281 
2.470 GHz,0.922 / 18.044 ,0.057 / -81.290 ,1.358 / -80.640 ,0.732 / 14.296 
2.480 GHz,0.919 / 15.627 ,0.058 / -83.808 ,1.374 / -83.208 ,0.729 / 12.319 
2.490 GHz,0.917 / 13.221 ,0.059 / -86.283 ,1.389 / -85.733 ,0.726 / 10.410 
2.500 GHz,0.914 / 10.826 ,0.060 / -88.763 ,1.405 / -88.263 ,0.722 / 8.508 
2.510 GHz,0.911 / 8.437 ,0.061 / -91.252 ,1.421 / -90.802 ,0.718 / 6.611 
2.520 GHz,0.908 / 6.054 ,0.062 / -93.753 ,1.437 / -93.353 ,0.714 / 4.722 
2.530 GHz,0.905 / 3.674 ,0.064 / -96.277 ,1.453 / -95.927 ,0.710 / 2.795 
2.540 GHz,0.901 / 1.295 ,0.065 / -98.822 ,1.471 / -98.522 ,0.705 / 0.872 
2.550 GHz,0.897 / -1.084 ,0.066 / -101.434 ,1.488 / -101.184 ,0.700 / -1.023 
2.560 GHz,0.893 / -3.468 ,0.067 / -104.074 ,1.507 / -103.874 ,0.695 / -2.913 
2.570 GHz,0.889 / -5.861 ,0.069 / -106.707 ,1.527 / -106.557 ,0.689 / -4.818 
2.580 GHz,0.884 / -8.264 ,0.070 / -109.381 ,1.547 / -109.281 ,0.682 / -6.718 
2.590 GHz,0.879 / -10.680 ,0.072 / -112.090 ,1.569 / -112.090 ,0.675 / -8.582 
2.600 GHz,0.874 / -13.113 ,0.073 / -114.851 ,1.592 / -114.951 ,0.667 / -10.439 
2.610 GHz,0.868 / -15.567 ,0.075 / -117.725 ,1.618 / -117.825 ,0.659 / -12.275 
2.620 GHz,0.861 / -18.047 ,0.077 / -120.668 ,1.645 / -120.768 ,0.649 / -14.097 
2.630 GHz,0.853 / -20.559 ,0.079 / -123.642 ,1.674 / -123.792 ,0.639 / -15.888 
2.640 GHz,0.845 / -23.106 ,0.081 / -126.709 ,1.705 / -126.909 ,0.628 / -17.652 
2.650 GHz,0.836 / -25.692 ,0.083 / -129.945 ,1.739 / -130.145 ,0.615 / -19.446 
2.660 GHz,0.825 / -28.324 ,0.085 / -133.307 ,1.776 / -133.507 ,0.601 / -21.191 
2.670 GHz,0.813 / -31.011 ,0.088 / -136.748 ,1.815 / -136.998 ,0.585 / -22.800 
2.680 GHz,0.800 / -33.756 ,0.090 / -140.354 ,1.857 / -140.654 ,0.568 / -24.307 
2.690 GHz,0.784 / -36.563 ,0.093 / -144.155 ,1.902 / -144.505 ,0.549 / -25.667 
2.700 GHz,0.766 / -39.435 ,0.096 / -148.180 ,1.950 / -148.580 ,0.528 / -26.817 
2.710 GHz,0.744 / -42.329 ,0.100 / -152.523 ,2.003 / -152.973 ,0.505 / -27.686 
2.720 GHz,0.720 / -45.267 ,0.103 / -157.173 ,2.060 / -157.673 ,0.480 / -28.109 
2.730 GHz,0.691 / -48.283 ,0.107 / -162.124 ,2.118 / -162.674 ,0.454 / -27.863 
2.740 GHz,0.657 / -51.283 ,0.111 / -167.495 ,2.179 / -168.095 ,0.427 / -26.677 
2.750 GHz,0.617 / -54.159 ,0.115 / -173.393 ,2.240 / -174.043 ,0.400 / -24.171 
2.760 GHz,0.571 / -56.738 ,0.118 / -179.853 ,2.298 / 179.447 ,0.377 / -19.907 
2.770 GHz,0.518 / -58.664 ,0.122 / 173.052 ,2.350 / 172.302 ,0.366 / -13.837 
2.780 GHz,0.460 / -59.365 ,0.125 / 165.278 ,2.389 / 164.478 ,0.373 / -6.595 
2.790 GHz,0.400 / -57.931 ,0.127 / 156.847 ,2.409 / 155.997 ,0.401 / 0.257 
2.800 GHz,0.345 / -52.890 ,0.127 / 147.727 ,2.400 / 146.827 ,0.452 / 5.059 
2.810 GHz,0.309 / -43.184 ,0.126 / 137.952 ,2.358 / 137.052 ,0.520 / 7.048 
2.820 GHz,0.307 / -30.846 ,0.122 / 127.707 ,2.277 / 126.807 ,0.597 / 6.419 
2.830 GHz,0.340 / -20.748 ,0.117 / 117.206 ,2.160 / 116.256 ,0.673 / 3.827 
2.840 GHz,0.392 / -15.391 ,0.109 / 106.551 ,2.013 / 105.551 ,0.742 / -0.033 
2.850 GHz,0.450 / -14.010 ,0.101 / 95.769 ,1.847 / 94.769 ,0.800 / -4.579 
2.860 GHz,0.500 / -14.909 ,0.092 / 84.820 ,1.674 / 83.820 ,0.844 / -9.380 
2.870 GHz,0.539 / -16.753 ,0.083 / 73.451 ,1.503 / 72.351 ,0.874 / -14.145 
2.880 GHz,0.562 / -18.432 ,0.074 / 60.936 ,1.337 / 59.736 ,0.890 / -18.651 
2.890 GHz,0.571 / -18.563 ,0.066 / 45.877 ,1.175 / 44.677 ,0.893 / -22.618 
2.900 GHz,0.587 / -15.205 ,0.056 / 26.154 ,0.992 / 24.954 ,0.886 / -25.517 
